N;248;GBP/USD;3,19852E+13;1,6088E+12;500000.00;0.00;0.00;1.35690;S;0
C;149;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;149;GBP/USD;3,19852E+13;1,6088E+12;1000000.00;0.00;0.00;1.35665;B;0
C;249;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;249;GBP/USD;3,19852E+13;1,6088E+12;1000000.00;0.00;0.00;1.35690;S;0
C;150;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;150;GBP/USD;3,19852E+13;1,6088E+12;1000000.00;0.00;0.00;1.35665;B;0
C;250;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;250;GBP/USD;3,19852E+13;1,6088E+12;1000000.00;0.00;0.00;1.35690;S;0
C;151;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;151;GBP/USD;3,19852E+13;1,6088E+12;2000000.00;0.00;0.00;1.35665;B;0
C;251;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;251;GBP/USD;3,19852E+13;1,6088E+12;2000000.00;0.00;0.00;1.35690;S;0
C;152;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;152;GBP/USD;3,19852E+13;1,6088E+12;2000000.00;0.00;0.00;1.35662;B;0
C;252;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;252;GBP/USD;3,19852E+13;1,6088E+12;2000000.00;0.00;0.00;1.35693;S;0
C;153;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;153;GBP/USD;3,19852E+13;1,6088E+12;3000000.00;0.00;0.00;1.35658;B;0
C;253;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;253;GBP/USD;3,19852E+13;1,6088E+12;3000000.00;0.00;0.00;1.35697;S;0
C;154;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;154;GBP/USD;3,19852E+13;1,6088E+12;5000000.00;0.00;0.00;1.35653;B;0
C;254;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;254;GBP/USD;3,19852E+13;1,6088E+12;5000000.00;0.00;0.00;1.35702;S;0
C;155;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;155;GBP/USD;3,19852E+13;1,6088E+12;5000000.00;0.00;0.00;1.35649;B;0
C;255;GBP/USD;3,19852E+13;1,6088E+12;;;;;;
N;255;GBP/USD;3,19852E+13;1,6088E+12;5000000.00;0.00;0.00;1.35706;S;0
N;134;AUD/USD;3,19855E+13;1,6088E+12;100000.00;0.00;0.00;0.75892;B;0
N;234;AUD/USD;3,19855E+13;1,6088E+12;100000.00;0.00;0.00;0.75905;S;0
N;135;AUD/USD;3,19855E+13;1,6088E+12;200000.00;0.00;0.00;0.75892;B;0
N;235;AUD/USD;3,19855E+13;1,6088E+12;200000.00;0.00;0.00;0.75905;S;0
N;136;AUD/USD;3,19855E+13;1,6088E+12;200000.00;0.00;0.00;0.75892;B;0
N;236;AUD/USD;3,19855E+13;1,6088E+12;200000.00;0.00;0.00;0.75905;S;0
N;137;AUD/USD;3,19855E+13;1,6088E+12;500000.00;0.00;0.00;0.75892;B;0
N;237;AUD/USD;3,19855E+13;1,6088E+12;500000.00;0.00;0.00;0.75905;S;0
N;138;AUD/USD;3,19855E+13;1,6088E+12;1000000.00;0.00;0.00;0.75892;B;0
N;238;AUD/USD;3,19855E+13;1,6088E+12;1000000.00;0.00;0.00;0.75905;S;0
N;139;AUD/USD;3,19855E+13;1,6088E+12;1000000.00;0.00;0.00;0.75892;B;0
N;239;AUD/USD;3,19855E+13;1,6088E+12;1000000.00;0.00;0.00;0.75905;S;0
N;140;AUD/USD;3,19855E+13;1,6088E+12;2000000.00;0.00;0.00;0.75892;B;0
N;240;AUD/USD;3,19855E+13;1,6088E+12;2000000.00;0.00;0.00;0.75905;S;0
N;141;AUD/USD;3,19855E+13;1,6088E+12;2000000.00;0.00;0.00;0.75890;B;0
N;241;AUD/USD;3,19855E+13;1,6088E+12;2000000.00;0.00;0.00;0.75907;S;0
N;142;AUD/USD;3,19855E+13;1,6088E+12;3000000.00;0.00;0.00;0.75888;B;0
N;242;AUD/USD;3,19855E+13;1,6088E+12;3000000.00;0.00;0.00;0.75909;S;0
N;143;AUD/USD;3,19855E+13;1,6088E+12;5000000.00;0.00;0.00;0.75885;B;0
N;243;AUD/USD;3,19855E+13;1,6088E+12;5000000.00;0.00;0.00;0.75912;S;0
N;144;AUD/USD;3,19855E+13;1,6088E+12;5000000.00;0.00;0.00;0.75883;B;0
N;244;AUD/USD;3,19855E+13;1,6088E+12;5000000.00;0.00;0.00;0.75914;S;0
C;234;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;234;AUD/USD;3,19855E+13;1,6088E+12;100000.00;0.00;0.00;0.75906;S;0
C;235;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;235;AUD/USD;3,19855E+13;1,6088E+12;200000.00;0.00;0.00;0.75906;S;0
C;236;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;236;AUD/USD;3,19855E+13;1,6088E+12;200000.00;0.00;0.00;0.75906;S;0
C;237;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;237;AUD/USD;3,19855E+13;1,6088E+12;500000.00;0.00;0.00;0.75906;S;0
C;238;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;238;AUD/USD;3,19855E+13;1,6088E+12;1000000.00;0.00;0.00;0.75906;S;0
C;239;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;239;AUD/USD;3,19855E+13;1,6088E+12;1000000.00;0.00;0.00;0.75906;S;0
C;240;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;240;AUD/USD;3,19855E+13;1,6088E+12;2000000.00;0.00;0.00;0.75906;S;0
C;241;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;241;AUD/USD;3,19855E+13;1,6088E+12;2000000.00;0.00;0.00;0.75908;S;0
C;242;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;242;AUD/USD;3,19855E+13;1,6088E+12;3000000.00;0.00;0.00;0.75910;S;0
C;243;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;243;AUD/USD;3,19855E+13;1,6088E+12;5000000.00;0.00;0.00;0.75913;S;0
C;244;AUD/USD;3,19855E+13;1,6088E+12;;;;;;
N;244;AUD/USD;3,19855E+13;1,6088E+12;5000000.00;0.00;0.00;0.75915;S;0
C;134;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;134;AUD/USD;3,19856E+13;1,6088E+12;100000.00;0.00;0.00;0.75893;B;0
C;135;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;135;AUD/USD;3,19856E+13;1,6088E+12;200000.00;0.00;0.00;0.75893;B;0
C;136;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;136;AUD/USD;3,19856E+13;1,6088E+12;200000.00;0.00;0.00;0.75893;B;0
C;137;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;137;AUD/USD;3,19856E+13;1,6088E+12;500000.00;0.00;0.00;0.75893;B;0
C;138;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;138;AUD/USD;3,19856E+13;1,6088E+12;1000000.00;0.00;0.00;0.75893;B;0
C;139;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;139;AUD/USD;3,19856E+13;1,6088E+12;1000000.00;0.00;0.00;0.75893;B;0
C;140;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;140;AUD/USD;3,19856E+13;1,6088E+12;2000000.00;0.00;0.00;0.75893;B;0
C;141;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;141;AUD/USD;3,19856E+13;1,6088E+12;2000000.00;0.00;0.00;0.75891;B;0
C;142;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;142;AUD/USD;3,19856E+13;1,6088E+12;3000000.00;0.00;0.00;0.75889;B;0
C;143;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;143;AUD/USD;3,19856E+13;1,6088E+12;5000000.00;0.00;0.00;0.75886;B;0
C;144;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;144;AUD/USD;3,19856E+13;1,6088E+12;5000000.00;0.00;0.00;0.75884;B;0
C;234;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;234;AUD/USD;3,19856E+13;1,6088E+12;100000.00;0.00;0.00;0.75907;S;0
C;235;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;235;AUD/USD;3,19856E+13;1,6088E+12;200000.00;0.00;0.00;0.75907;S;0
C;236;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;236;AUD/USD;3,19856E+13;1,6088E+12;200000.00;0.00;0.00;0.75907;S;0
C;237;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;237;AUD/USD;3,19856E+13;1,6088E+12;500000.00;0.00;0.00;0.75907;S;0
C;238;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;238;AUD/USD;3,19856E+13;1,6088E+12;1000000.00;0.00;0.00;0.75907;S;0
C;239;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;239;AUD/USD;3,19856E+13;1,6088E+12;1000000.00;0.00;0.00;0.75907;S;0
C;240;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
N;240;AUD/USD;3,19856E+13;1,6088E+12;2000000.00;0.00;0.00;0.75907;S;0
C;241;AUD/USD;3,19856E+13;1,6088E+12;;;;;;
